step,T_Loss,T_Accuracy,T_Precision,T_Recall,T_F1,V_Loss,V_Accuracy,V_Precision,V_Recall,V_F1
0,3.915365695953369,0.03125,0.017921146953405017,0.026881720430107524,0.016129032258064516,nan,nan,nan,nan,nan
1,3.824232578277588,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan
2,3.7432844638824463,0.0625,0.03072916666666667,0.020386904761904762,0.024305555555555556,nan,nan,nan,nan,nan
3,3.6552703380584717,0.109375,0.06777777777777777,0.07916666666666666,0.06647342995169082,nan,nan,nan,nan,nan
4,3.651623010635376,0.15625,0.04773954116059379,0.10256410256410256,0.06208791208791209,nan,nan,nan,nan,nan
5,3.5400466918945312,0.171875,0.03977397410577134,0.07936507936507937,0.04861111111111111,nan,nan,nan,nan,nan
6,3.5759592056274414,0.21875,0.029998252220474444,0.08641975308641975,0.044155503020751254,nan,nan,nan,nan,nan
7,3.5412657260894775,0.171875,0.043324918324918325,0.12912087912087913,0.06305361305361305,nan,nan,nan,nan,nan
8,3.4169938564300537,0.25,0.053282182438192674,0.13702239789196313,0.07542533081285444,nan,nan,nan,nan,nan
9,3.5381038188934326,0.15625,0.025555555555555554,0.11199999999999999,0.04099419279907085,nan,nan,nan,nan,nan
10,3.256617546081543,0.265625,0.05513392857142857,0.15277777777777776,0.07701719576719576,nan,nan,nan,nan,nan
11,3.359631061553955,0.21875,0.05892595307917888,0.125,0.06893424036281179,nan,nan,nan,nan,nan
12,3.1918962001800537,0.234375,0.05869990224828935,0.1212121212121212,0.07167832167832168,nan,nan,nan,nan,nan
13,3.1111884117126465,0.265625,0.05072222222222222,0.12222222222222222,0.06603174603174604,nan,nan,nan,nan,nan
14,3.2085764408111572,0.28125,0.054327894327894324,0.13095238095238096,0.0734916424571597,nan,nan,nan,nan,nan
15,2.9343433380126953,0.296875,0.04038461538461539,0.09775641025641026,0.056366181846464955,nan,nan,nan,nan,nan
16,2.9298787117004395,0.25,0.11011904761904762,0.15982905982905982,0.08246712083029219,nan,nan,nan,nan,nan
17,2.9078221321105957,0.265625,0.11904761904761903,0.15625,0.10608465608465607,nan,nan,nan,nan,nan
18,2.983565092086792,0.296875,0.10723484848484847,0.20486111111111108,0.12648735156231408,nan,nan,nan,nan,nan
19,2.917266368865967,0.328125,0.061418610438218287,0.13209876543209875,0.07740715180328707,nan,nan,nan,nan,nan
20,2.7547402381896973,0.328125,0.0662202380952381,0.14360119047619047,0.08980393692564746,0.056441421658883086,0.043583535108958835,0.003840813782160263,0.035015184524988446,0.005991740080418803
21,2.7625274658203125,0.328125,0.15429879045439684,0.19130434782608696,0.13050379572118703,nan,nan,nan,nan,nan
22,2.8128867149353027,0.296875,0.09151515151515152,0.16190476190476188,0.11144945697577277,nan,nan,nan,nan,nan
23,2.8928651809692383,0.265625,0.05669230769230769,0.13666666666666666,0.07465761177136389,nan,nan,nan,nan,nan
24,2.669955253601074,0.328125,0.09860781919605448,0.18716931216931215,0.11007736427904496,nan,nan,nan,nan,nan
25,2.925631046295166,0.296875,0.13237085769980508,0.21428571428571427,0.1321937321937322,nan,nan,nan,nan,nan
26,2.5006606578826904,0.40625,0.1242822966507177,0.16282051282051282,0.12533455655052753,nan,nan,nan,nan,nan
27,2.4919064044952393,0.390625,0.1612877611518916,0.18601190476190477,0.15314327485380116,nan,nan,nan,nan,nan
28,2.3292081356048584,0.40625,0.14375573921028464,0.21148989898989898,0.16297392991327242,nan,nan,nan,nan,nan
29,3.0451948642730713,0.234375,0.09084564860426929,0.1709770114942529,0.1061870978386405,nan,nan,nan,nan,nan
30,2.5789709091186523,0.296875,0.08758029410203323,0.125,0.0924669012904307,nan,nan,nan,nan,nan
31,2.7514092922210693,0.265625,0.06558710440698019,0.17346938775510204,0.08956916099773242,nan,nan,nan,nan,nan
32,2.4794814586639404,0.375,0.13091060985797828,0.2114512471655329,0.15283491174247477,nan,nan,nan,nan,nan
33,2.8355979919433594,0.28125,0.051150793650793655,0.13333333333333333,0.06822226506437033,nan,nan,nan,nan,nan
34,2.7411012649536133,0.28125,0.07582695082695083,0.15854700854700854,0.09715099715099716,nan,nan,nan,nan,nan
35,2.719878911972046,0.328125,0.0867863247863248,0.16666666666666669,0.1118954248366013,nan,nan,nan,nan,nan
36,2.6052298545837402,0.359375,0.11306818181818183,0.26666666666666666,0.15704339706897252,nan,nan,nan,nan,nan
37,2.7164928913116455,0.296875,0.11578276795668101,0.1826086956521739,0.135801302247427,nan,nan,nan,nan,nan
38,2.2233335971832275,0.5,0.20493633350776208,0.2755102040816326,0.21965134199383615,nan,nan,nan,nan,nan
39,2.4679574966430664,0.40625,0.14228316326530613,0.19285714285714284,0.15799973835688122,nan,nan,nan,nan,nan
40,2.4240477085113525,0.375,0.13101604278074866,0.21272727272727274,0.14618181818181816,0.049083400580842616,0.22639225181598063,0.061481927383041646,0.10886244288344812,0.07090925239125509
41,2.381612777709961,0.390625,0.1218112244897959,0.1840561224489796,0.14199134199134197,nan,nan,nan,nan,nan
42,2.0544958114624023,0.515625,0.20241402116402116,0.2710648148148148,0.22144995176304472,nan,nan,nan,nan,nan
43,2.371126890182495,0.34375,0.148497335997336,0.20288461538461539,0.1662078098134302,nan,nan,nan,nan,nan
44,2.3218955993652344,0.390625,0.11309523809523811,0.20238095238095238,0.1375,nan,nan,nan,nan,nan
45,2.938385486602783,0.25,0.06709085933223866,0.1469622331691297,0.0852536251810299,nan,nan,nan,nan,nan
46,2.613687038421631,0.375,0.11405723905723904,0.1864583333333333,0.12957026633497223,nan,nan,nan,nan,nan
47,2.5202648639678955,0.375,0.11362337662337663,0.204,0.13495382395382396,nan,nan,nan,nan,nan
48,2.260965347290039,0.453125,0.16718750000000002,0.30416666666666664,0.20801282051282052,nan,nan,nan,nan,nan
49,2.327559471130371,0.4375,0.11978021978021978,0.20705128205128204,0.14571058232385464,nan,nan,nan,nan,nan
50,2.429576873779297,0.328125,0.11968240093240091,0.2099358974358974,0.14151320867127942,nan,nan,nan,nan,nan
51,2.242387056350708,0.375,0.13533333333333333,0.18952380952380954,0.14722691343743974,nan,nan,nan,nan,nan
52,2.4485459327697754,0.328125,0.12521428571428572,0.2,0.1455397452788757,nan,nan,nan,nan,nan
53,2.5375595092773438,0.3125,0.139266983016983,0.20576923076923076,0.1464160839160839,nan,nan,nan,nan,nan
54,2.285867929458618,0.359375,0.10488821523304283,0.1793103448275862,0.12704949819287387,nan,nan,nan,nan,nan
55,2.4322476387023926,0.3125,0.08784565108094519,0.21955128205128205,0.12137584637584638,nan,nan,nan,nan,nan
56,2.1357078552246094,0.375,0.16409460105112278,0.23493788819875777,0.18061574685615608,nan,nan,nan,nan,nan
57,2.344862937927246,0.40625,0.12899659863945578,0.20535714285714285,0.14641311069882498,nan,nan,nan,nan,nan
58,2.223590612411499,0.453125,0.16192819526152857,0.25573192239858905,0.1939356073858998,nan,nan,nan,nan,nan
59,2.408184766769409,0.34375,0.11417989062219831,0.18205128205128204,0.1312780356898004,nan,nan,nan,nan,nan
60,2.404386281967163,0.40625,0.1668456065007789,0.2574712643678161,0.18936310714895105,0.03810068221704146,0.36561743341404357,0.13022176086114465,0.19452607296009708,0.14490320676891624
61,2.218259334564209,0.40625,0.1631687242798354,0.24290123456790125,0.18132592986394155,nan,nan,nan,nan,nan
62,2.160330057144165,0.4375,0.17280952380952383,0.2995238095238095,0.20877788877788878,nan,nan,nan,nan,nan
63,2.2029225826263428,0.34375,0.20235930735930732,0.2866666666666667,0.22508445802563448,nan,nan,nan,nan,nan
64,2.453446626663208,0.375,0.1517094017094017,0.21153846153846154,0.1698224852071006,nan,nan,nan,nan,nan
65,2.4143967628479004,0.296875,0.11280797391908504,0.18518518518518517,0.13383822664868417,nan,nan,nan,nan,nan
66,2.280261993408203,0.421875,0.16328630217519108,0.2580246913580247,0.19346086012752675,nan,nan,nan,nan,nan
67,2.1662755012512207,0.40625,0.18582112332112333,0.28937728937728935,0.20829459002535927,nan,nan,nan,nan,nan
68,1.999531865119934,0.421875,0.168482905982906,0.20535714285714282,0.17284798534798534,nan,nan,nan,nan,nan
69,2.145167827606201,0.4375,0.19852216748768473,0.28407224958949095,0.22563069114793252,nan,nan,nan,nan,nan
70,2.434083938598633,0.328125,0.16798941798941794,0.2376543209876543,0.18297720797720796,nan,nan,nan,nan,nan
